Date;Filière;Valeur (GW)
07/08/2020;Disponibilité du parc nucléaire;33,40207
08/08/2020;Disponibilité du parc nucléaire;33,31958
09/08/2020;Disponibilité du parc nucléaire;33,98519
10/08/2020;Disponibilité du parc nucléaire;34,03329
11/08/2020;Disponibilité du parc nucléaire;34,87379
12/08/2020;Disponibilité du parc nucléaire;35,00685
13/08/2020;Disponibilité du parc nucléaire;35,21563
14/08/2020;Disponibilité du parc nucléaire;35,12595
15/08/2020;Disponibilité du parc nucléaire;31,90131
16/08/2020;Disponibilité du parc nucléaire;32,47084
17/08/2020;Disponibilité du parc nucléaire;33,01636
18/08/2020;Disponibilité du parc nucléaire;33,56792
19/08/2020;Disponibilité du parc nucléaire;34,22818
20/08/2020;Disponibilité du parc nucléaire;34,05778
21/08/2020;Disponibilité du parc nucléaire;33,81644
22/08/2020;Disponibilité du parc nucléaire;31,80304
23/08/2020;Disponibilité du parc nucléaire;30,92213
24/08/2020;Disponibilité du parc nucléaire;33,11708
25/08/2020;Disponibilité du parc nucléaire;31,78262
26/08/2020;Disponibilité du parc nucléaire;31,51981
27/08/2020;Disponibilité du parc nucléaire;31,84562
28/08/2020;Disponibilité du parc nucléaire;31,84021
29/08/2020;Disponibilité du parc nucléaire;30,51944
30/08/2020;Disponibilité du parc nucléaire;30,14671
31/08/2020;Disponibilité du parc nucléaire;31,09998
01/09/2020;Disponibilité du parc nucléaire;30,04504
02/09/2020;Disponibilité du parc nucléaire;30,2
03/09/2020;Disponibilité du parc nucléaire;30,85
04/09/2020;Disponibilité du parc nucléaire;30,79865
05/09/2020;Disponibilité du parc nucléaire;30,11177
06/09/2020;Disponibilité du parc nucléaire;29,45288
07/09/2020;Disponibilité du parc nucléaire;30,60458
08/09/2020;Disponibilité du parc nucléaire;31,58569
09/09/2020;Disponibilité du parc nucléaire;31,36218
10/09/2020;Disponibilité du parc nucléaire;31,11979
11/09/2020;Disponibilité du parc nucléaire;31,18571
12/09/2020;Disponibilité du parc nucléaire;30,57687
13/09/2020;Disponibilité du parc nucléaire;31,63995
14/09/2020;Disponibilité du parc nucléaire;30,96125
15/09/2020;Disponibilité du parc nucléaire;30,98365
16/09/2020;Disponibilité du parc nucléaire;31,14542
17/09/2020;Disponibilité du parc nucléaire;31,78339
18/09/2020;Disponibilité du parc nucléaire;31,35979
19/09/2020;Disponibilité du parc nucléaire;31,26355
20/09/2020;Disponibilité du parc nucléaire;30,79915
21/09/2020;Disponibilité du parc nucléaire;33,05552
22/09/2020;Disponibilité du parc nucléaire;33,20172
23/09/2020;Disponibilité du parc nucléaire;33,53026
24/09/2020;Disponibilité du parc nucléaire;33,63583
25/09/2020;Disponibilité du parc nucléaire;34,34439
26/09/2020;Disponibilité du parc nucléaire;33,16235
27/09/2020;Disponibilité du parc nucléaire;33,62175
28/09/2020;Disponibilité du parc nucléaire;35,68649
29/09/2020;Disponibilité du parc nucléaire;36,855
30/09/2020;Disponibilité du parc nucléaire;36,91667
01/10/2020;Disponibilité du parc nucléaire;36,93
02/10/2020;Disponibilité du parc nucléaire;36,52525
03/10/2020;Disponibilité du parc nucléaire;34,20361
04/10/2020;Disponibilité du parc nucléaire;35,44874
05/10/2020;Disponibilité du parc nucléaire;37,4934
06/10/2020;Disponibilité du parc nucléaire;38,31456
07/10/2020;Disponibilité du parc nucléaire;38,58057
08/10/2020;Disponibilité du parc nucléaire;39,07208
09/10/2020;Disponibilité du parc nucléaire;39,23347
10/10/2020;Disponibilité du parc nucléaire;38,77126
11/10/2020;Disponibilité du parc nucléaire;39,04827
12/10/2020;Disponibilité du parc nucléaire;39,3925
13/10/2020;Disponibilité du parc nucléaire;40,28859
14/10/2020;Disponibilité du parc nucléaire;40,63514
15/10/2020;Disponibilité du parc nucléaire;40,93788
16/10/2020;Disponibilité du parc nucléaire;41,18776
17/10/2020;Disponibilité du parc nucléaire;41,48303
18/10/2020;Disponibilité du parc nucléaire;41,69122
19/10/2020;Disponibilité du parc nucléaire;41,66533
20/10/2020;Disponibilité du parc nucléaire;40,59343
21/10/2020;Disponibilité du parc nucléaire;40,29093
22/10/2020;Disponibilité du parc nucléaire;40,22495
23/10/2020;Disponibilité du parc nucléaire;40,40118
24/10/2020;Disponibilité du parc nucléaire;41,08281
25/10/2020;Disponibilité du parc nucléaire;39,98142
26/10/2020;Disponibilité du parc nucléaire;41,81234
27/10/2020;Disponibilité du parc nucléaire;41,43323
28/10/2020;Disponibilité du parc nucléaire;41,50092
29/10/2020;Disponibilité du parc nucléaire;41,6861
30/10/2020;Disponibilité du parc nucléaire;42,39373
31/10/2020;Disponibilité du parc nucléaire;41,18662
01/11/2020;Disponibilité du parc nucléaire;40,74687
02/11/2020;Disponibilité du parc nucléaire;41,30071
03/11/2020;Disponibilité du parc nucléaire;43,66445
04/11/2020;Disponibilité du parc nucléaire;43,70014
05/11/2020;Disponibilité du parc nucléaire;43,67508
06/11/2020;Disponibilité du parc nucléaire;43,03109
07/11/2020;Disponibilité du parc nucléaire;44,15991
08/11/2020;Disponibilité du parc nucléaire;44,97037
09/11/2020;Disponibilité du parc nucléaire;45,91575
10/11/2020;Disponibilité du parc nucléaire;46,07
11/11/2020;Disponibilité du parc nucléaire;45,41407
12/11/2020;Disponibilité du parc nucléaire;45,42167
13/11/2020;Disponibilité du parc nucléaire;45,96552
14/11/2020;Disponibilité du parc nucléaire;43,88125
15/11/2020;Disponibilité du parc nucléaire;43,76335
16/11/2020;Disponibilité du parc nucléaire;45,06226
17/11/2020;Disponibilité du parc nucléaire;45,71938
18/11/2020;Disponibilité du parc nucléaire;45,64708
19/11/2020;Disponibilité du parc nucléaire;45,83339
20/11/2020;Disponibilité du parc nucléaire;47,08952
21/11/2020;Disponibilité du parc nucléaire;46,73418
22/11/2020;Disponibilité du parc nucléaire;46,81991
23/11/2020;Disponibilité du parc nucléaire;47,3525
24/11/2020;Disponibilité du parc nucléaire;47,71414
25/11/2020;Disponibilité du parc nucléaire;47,47968
26/11/2020;Disponibilité du parc nucléaire;43,9141
27/11/2020;Disponibilité du parc nucléaire;47,10547
28/11/2020;Disponibilité du parc nucléaire;46,71107
29/11/2020;Disponibilité du parc nucléaire;46,96226
30/11/2020;Disponibilité du parc nucléaire;47,49458
01/12/2020;Disponibilité du parc nucléaire;47,32521
02/12/2020;Disponibilité du parc nucléaire;46,67091
03/12/2020;Disponibilité du parc nucléaire;46,15069
